Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
17;GARFIELD;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;8649444,88;2004;4,3;5,2;-0,26
12;PRINCE OF PERSIA. LAS ARENAS DEL TIEMPO;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;10059931,37;2010;4,34;6,2;-0,3
9;MARTE (THE MARTIAN);ESTADOS UNIDOS;HISPANO FOXFILM, S.A.;11051906,66;2015;4,74;7,6;-0,319999999999999
15;MONSTRUOS CONTRA ALIENIGENAS;ESTADOS UNIDOS;PARAMOUNT SPAIN S.L.;9893315,68;2009;4,25;6;-0,36
10;IRON MAN THREE;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;9840603,67;2013;4,37;6,8;-0,38
11;STAR WARS: EL DESPERTAR DE LA FUERZA;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;10901021,33;2016;4,52;7,5;-0,390000000000001
10;CREPUSCULO;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;10156558,06;2008;4,18;5,8;-0,390000000000001
18;G-FORCE - LICENCIA PARA ESPIAR;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;8470075,87;2009;3,64;5,1;-0,419999999999999
11;SUPER 8;ESTADOS UNIDOS;PARAMOUNT SPAIN S.L.;10036340,81;2011;4,38;6,6;-0,42
16;SCARY MOVIE 3;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;8931166,07;2004;4,44;5,7;-0,42
13;PERDIENDO EL NORTE;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;10450257,42;2015;4,49;5,9;-0,43
9;AHORA ME VES...;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;10356253,28;2013;4,6;7,3;-0,46
9;SUPERMAN RETURNS (EL REGRESO);ESTADOS UNIDOS;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;9151877,87;2006;4,03;5,4;-0,47
6;MEMORIAS DE UNA GEISHA;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;11774760,05;2006;5,19;7,3;-0,48
15;BUSQUEDA (NATIONAL TREASURE), LA;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;9646308,21;2004;4,8;6,4;-0,5
8;JUEGOS DEL HAMBRE: EN LLAMAS, LOS;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;10385738,34;2013;4,61;7,4;-0,51
8;PALMERAS EN LA NIEVE;ESPAÑA;NOSTROMO PICTURES, S.L.;12471763,65;2016;5,18;7,3;-0,510000000000001
3;HOBBIT: LA DESOLACION DE SMAUG, EL;NUEVA ZELANDA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;13077298,41;2013;5,81;7,6;-0,58
18;AFTER EARTH;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;6816073,97;2013;3,03;5;-0,61
